1,31,16,"저도 비슷한 상황을 겪었는데, 식자재 공급업체를 바꾸니까 원가가 많이 절감됐어요. 추천해 드릴 수 있는 곳이 있으면 연락주세요.",2025-03-19 03:54:59,2025-03-19 03:54:59
2,31,18,주방 인력 구하기가 정말 힘든 요즘이네요. 알바생 구인구직 앱 말고 다른 방법 없을까요?,2025-03-19 03:54:59,2025-03-19 03:54:59
3,31,19,배달앱 수수료 너무 비싸서 자체 배달로 전환했더니 수익이 확실히 올라갔어요. 초기 세팅이 좀 힘들긴 했지만요.,2025-03-19 03:54:59,2025-03-19 03:54:59
5,31,25,지역 축제 참여하신 분 계신가요? 저희는 작년에 참여했는데 홍보 효과가 꽤 좋았습니다.,2025-03-19 03:54:59,2025-03-19 03:54:59
6,31,26,요새 손님들이 건강식에 관심이 많더라고요. 저칼로리 메뉴 몇 개 추가했더니 반응이 좋습니다.,2025-03-19 03:54:59,2025-03-19 03:54:59
7,31,27,주방 기구 업그레이드 하려고 하는데 추천할 만한 브랜드 있으신가요? 내구성 좋은 제품을 찾고 있습니다.,2025-03-19 03:54:59,2025-03-19 03:54:59
8,31,16,신메뉴 개발할 때 고객 피드백을 적극 수용하니 반응이 정말 좋더라고요. 시식회 같은 이벤트도 효과적이었습니다.,2025-03-19 03:54:59,2025-03-19 03:54:59
9,31,18,코로나 이후 매출 회복하는 데 꽤 오래 걸렸네요. 다들 어떻게 극복하셨나요?,2025-03-19 03:55:00,2025-03-19 03:55:00
10,31,19,배달 포장용기 친환경으로 바꿨더니 손님들 반응이 좋습니다. 비용은 조금 올라갔지만 장기적으로는 이미지에 투자한다고 생각하고 있어요.,2025-03-19 03:55:00,2025-03-19 03:55:00
12,31,25,식재료 가격 상승이 너무 심해서 걱정이네요. 다들 어떻게 대응하고 계신지 궁금합니다.,2025-03-19 03:55:00,2025-03-19 03:55:00
13,31,26,직원 복지 개선했더니 이직률이 확실히 줄었어요. 장기근속 직원이 늘어나니 서비스 품질도 안정적이고 좋네요.,2025-03-19 03:55:00,2025-03-19 03:55:00
14,31,27,최근에 POS 시스템 업그레이드했는데 재고관리가 훨씬 편해졌어요. 추천합니다!,2025-03-19 03:55:00,2025-03-19 03:55:00
15,31,16,사업자들을 위한 세무 교육 세미나가 이번 주말에 있다고 하네요. 참석하실 분 계신가요?,2025-03-19 03:55:00,2025-03-19 03:55:00
25,26,19,저도 잘 모르겠어요 ㅠㅠ,2025-03-21 00:07:49,2025-03-21 00:07:49
26,65,16,ㅎㅎㅎ,2025-03-23 23:58:40,2025-03-23 23:58:40
27,65,16,수정,2025-03-23 23:58:43,2025-03-23 23:59:06
30,31,18,"누가 내 아이디 도용함
",2025-03-27 04:13:11,2025-03-27 04:13:11
31,77,36,안녕하세요 저는 이성준입니다.,2025-03-31 05:39:56,2025-03-31 05:39:56
32,77,38,안녕하세요 노규헌이에요,2025-03-31 05:43:13,2025-03-31 05:43:13
